AnswerOptionId,QuestionId,AnswerOptionText,IsCorrect,AnswerOptionTextNl,AnswerOptionTextFr
16, 6, "1", 0, "1", "1"
17, 6, "2", 1, "2", "2"
18, 6, "0", 0, "0", "0"
19, 7, "Glasses", 1, "Bril", "Lunettes"
20, 7, "Hat", 0, "Hoed", "Chapeau"
21, 7, "Watch", 0, "Horloge", "Montre"
22, 8, "2", 0, "2", "2"
23, 8, "3", 0, "3", "3"
24, 8, "4", 1, "4", "4"
25, 9, "Bread", 0, "Brood", "Pain"
26, 9, "Cake", 0, "Cake", "Gâteau"
27, 9, "Donut", 1, "Donut", "Donut"
28, 10, "House", 0, "Huis", "Maison"
29, 10, "Castle", 1, "Kasteel", "Château"
30, 10, "Car", 0, "Auto", "Voiture"
31, 11, "Marshmellows", 1, "Marshmallows", "Chamallows"
32, 11, "Hotdogs", 0, "Hotdogs", "Hot-dogs"
33, 11, "Fish", 0, "Vis", "Poisson"
34, 12, "2", 0, "2", "2"
35, 12, "3", 0, "3", "3"
36, 12, "4", 1, "4", "4"
37, 13, "Halloween", 0, "Halloween", "Halloween"
38, 13, "Easter", 0, "Pasen", "Pâques"
39, 13, "Christmas", 1, "Kerstmis", "Noël"
40, 14, "Orange", 0, "Sinaasappel", "Orange"
41, 14, "Apple", 1, "Appel", "Pomme"
42, 14, "Pear", 0, "Peer", "Poire"
43, 15, "Excavator", 1, "Graafmachine", "Excavatrice"
44, 15, "Bulldozer", 0, "Bulldozer", "Bulldozer"
45, 15, "Forklift", 0, "Heftruck", "Chariot élévateur"
46, 16, "4", 0, "4", "4"
47, 16, "3", 0, "3", "3"
48, 16, "2", 1, "2", "2"
49, 17, "Chicken", 0, "Kip", "Poulet"
50, 17, "Goat", 1, "Geit", "Chèvre"
51, 17, "Cow", 0, "Koe", "Vache"
52, 18, "Sunflower", 0, "Zonnebloem", "Tournesol"
53, 18, "Orchid", 0, "Orchidee", "Orchidée"
54, 18, "Rose", 1, "Roos", "Rose"
55, 19, "Halloween", 1, "Halloween", "Halloween"
56, 19, "Easter", 0, "Pasen", "Pâques"
57, 19, "Christmas", 0, "Kerstmis", "Noël"
58, 20, "Monkey-parrot-tiger", 1, "Aap-papegaai-tijger", "Singe-perroquet-tigre"
59, 20, "Monkey-snake-tiger", 0, "Aap-slang-tijger", "Singe-serpent-tigre"
60, 20, "Parrot-Monkey-Jaguar", 0, "Papegaai-aap-jaguar", "Perroquet-singe-jaguar"
82, 28, "Saturn", 0, "Saturnus", "Saturne"
83, 28, "Mars", 0, "Mars", "Mars"
84, 28, "Earth", 1, "Aarde", "Terre"
94, 32, "Candy", 0, "Snoep", "Bonbon"
95, 32, "Steak", 0, "Steak", "Steak"
96, 32, "Bananas", 1, "Bananen", "Bananes"
97, 33, "Orange", 1, "Oranje", "Orange"
98, 33, "Purple", 0, "Paars", "Violet"
99, 33, "Green", 0, "Groen", "Vert"
100, 34, "2", 0, "2", "2"
101, 34, "3", 1, "3", "3"
102, 34, "4", 0, "4", "4"
103, 35, "A knife", 1, "Een mes", "Un couteau"
104, 35, "A Fork", 0, "Een vork", "Une fourchette"
105, 35, "A Spoon", 0, "Een lepel", "Une cuillère"
106, 36, "A Triangle", 0, "Een driehoek", "Un triangle"
107, 36, "A Star", 1, "Een ster", "Une étoile"
108, 36, "A Heart", 0, "Een hart", "Un cœur"
109, 37, "4", 0, "4", "4"
110, 37, "6", 1, "6", "6"
111, 37, "8", 0, "8", "8"
115, 41, "2", 1, "2", "2"
116, 41, "3", 0, "3", "3"
117, 41, "4", 0, "4", "4"
